identificador,nro_encuesta,zona,asentamiento,ciudad,tipo_formacion,tipo_formacion_otro,origen,origen_otro,poblador_mas_antiguo,poblador_mas_nuevo,superficie,numero_lotes,medida_lotes,numero_aprox_viviendas,numero_aprox_viviendas_precarias,numero_aprox_viviendas_precarias_otro,multiples_familias,tipo_propiedad,tipo_propiedad_fiscal,esta_loteada,plano_aprobado_muni,plano_aprobado_sas,conocimiento_adjudicacion,encargado_asignacion_lotes,encargado_asignacion_lotes_otros,ultima_salida_familia,desalojos,titulo_lotes,proceso_de_transferencia_titulos,razon_proceso_legalizacion,razon_proceso_legalizacion_otro,apoyo_organizacion,institucion_encargada_legalizacion,instucion_encargada_legalizacion_otro,legalizacion_etapa,legalizacion_etapa_otro,lotes_vendidos,lotes_vendidos_responsables,lotes_vendidos_precio,lotes_vendidos_destino,lotes_vendidos_destino_otro,excretas,escretas_otros,agua_tipo_provision,agua_tipo_conexion_regular,agua_tipo_provision_otro,agua_cantidad_familias,energia_tipo_provision,energia_cantidad_medidor,agua,agua_tiempo_tramites,agua_ano_obtencion,energia,energia_tiempo_tramites,energia_ano_obtencion,eliminacion_basura_tipo,eliminacion_basura_tipo_otro,cocina_metodo,cocina_metodo_otro,vias_acceso_material,vias_acceso_material_otro,caminos_material,caminos_material_otro,caminos_estado,calles_delimitadas_nombradas,calles_delimitadas_nombradas_otro,alumbrado_publico,alumbrado_publico_otro,alumbrado_publico_extension,alumbrado_publico_extension_otro,ong_asistencia,ong_proyectos,ong_familias_beneficiadas,ong_inicio_trabajos,programas_viviendas,programas_viviendas_lista,programas_viviendas_tipo,comision_vecinal,cooperativa,comedores,junta_saneamiento,guarderias,otras_organizaciones_asentamiento,ninguna_organizacion,comision_vecinal_participantes,organizacion_social_otro,comision_vecinal_eleccion_mecanismo,ribera_rio,arroyo,cerro,basurero,lineas_alta_tension,barrio_residencial,barranco,cantera,humedales,fabricas,ruta,lugares_cercanos_otro,distanica_comisaria,distancia_fiscalia_barrial,distancia_puesto_salud,distancia_hospital_publico,distancia_escuela_publica,distancia_escuela_privada,distancia_colegio_nacional,distancia_universidad,distancia_instituto_tecnico,distancia_transporte_publico,distancia_supermercado,distancia_centro_comunitario,distancia_cancha_deportiva,distancia_iglesia,distancia_zona_verde,distancia_comite_politico,obs_generales_lugar,problema_violencia,problema_desempleo,problema_drogadiccion,problema_educacion,problema_agua_potable,problema_salud,problema_falta_energia,problema_eliminacion_basura,problema_camino,problema_union_vecinos,problema_otro,aspectos_positivos,observaciones_grales,datos_adjuntos,asentamiento_intervenido_techo
404,357,,virgen de rosario/ita enrramada,lambare,desastre natural,vivian en una isla,ocupacion ilegal,,1980,mas de 10 años,,20,200,30,0,,si,sas,,si,si,si,si,comision vecinal,,no hubo abandono,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,sas,,en tramite con la sas,,no,,,,,inodoro conectado a alcantarillado,,conexión regular,essap,,100,ANDE,100,si,mas de un año,,si,mas de un año,,servicio de recolección pagado,,gas,,,,,,bueno,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,abrazo,si,no,no,no,no,,no,20,,votacion,si,no,no,no,no,no,no,no,si,no,no,,a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),,,,,,,,,,,,,la comunion entre vecinos,,,no
403,134,,villa serrana,lambare,migracion por factores economicos,,ocupacion ilegal,,1979,entre 5 y 10 años,20000,147,150,147,5,,si,municipal,,si,si,si,si,propietario o particular,,no hubo abandono,si,si,,,en proceso,si,municipalidad,,,final el municipio,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,essap,,100,ANDE,100,si,5,,si,4,,servicio de recolección pagado,,"gas, electricidad, leña y carbón",,,,,,bueno,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,senavitat,si,no,no,no,no,,no,150,,asamblea,no,no,no,no,no,no,no,no,no,no,si,,a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,dentro del asentamiento,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),,,2,1,,,,,,,,,unidad,,,no
402,176,,villa serenidad,lambare,desastre natural,,ocupacion de tierras cedidas por el estado,,1980,entre 5 y 10 años,5000,14,100,31,50,,si,sas,,si,no,no,si,comision vecinal,,mas de 2 años,si,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,,no se ha podido legalizar,no,,,,,inodoro conectado a fosa septica,letrina sanitaria conectado a pozo negro o pozo ciego,conexión regular,grifo publico,,100,irregular,10,si,mas de un año,,si,entre 6 meses y un año,,servicio de recolección pagado,,gas,,asfalto,,asfalto,,bueno,en algunas de las calles del barrio,,provistos por el estado,,en algunas de las calles del asentamiento,,no,,,,no,,"tekopora, senavitat",si,no,si,no,no,,no,100,,asemblea,si,no,si,no,no,no,no,no,no,si,no,,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,dentro del asentamiento,dentro del asentamiento,entre 31 y 50 cuadras (3-5 km),entre 11 y 30 cuadras (1-3 km),,,2,1,,,,3,,,,,integracion comunal,,,no
401,89,,villa san miguel 1,lambare,migracion por factores economicos,,mediante una asociacion social,,1980,mas de 10 años,19008,99,192,99,0,,si,sas,,si,no,no,si,sas,,mas de 2 años,no,si,,,en proceso,si,sas,,en tramite con la sas,,si,los propios vecinos,ns/nr,ns/nr,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,aguateria privada,,100,"ANDE, irregular",100,no,,,no,,,,,gas,,ripio,,ripio,,bueno,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,"oficios, escuelas para adultos",no,no,no,no,no,,no,50,,asamblea,no,no,no,no,no,no,no,no,no,no,no,,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),,,,,,,2,,,,,charlas para orientarles por tema de la drogadicción,union,,,no
400,79,41,villa san francisco asis,lambare,migracion por factores economicos,,ocupacion ilegal,,1990,entre 2 y 3 años,5200,,,32,5,,no,privada,,no,no,no,ns/nr,comision vecinal,,mas de 2 años,si,si,,zona de alto riesgo,,no,,,,litigio,si,los propios vecinos,ns/nr,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,aguateria privada,,100,irregular,15,si,,,no,,,servicio de recolección pagado,,gas,,asfalto,,,,bueno,no,,no,,,,no,,,,no,,"insfraextructura, centro comunitario para cursos en oficio",si,no,no,no,no,,no,15,,asemblea gral,no,no,no,no,no,si,no,no,no,no,no,,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),dentro del asentamiento,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),,entre 11 y 30 cuadras (1-3 km),,,,,,,,,,,,seguridad vial y desague cloacal,somos luchadores somos limpio y trabajadores y queremos mejorar,,,no
405,68,11,villa rodriguez,lambare,migracion por factores economicos,,ocupacion ilegal,,1990,mas de 10 años,27255,66,500,66,0,,si,sas,,si,no,no,si,propietario o particular,,1 año,no,no,,,en proceso,si,sas,,en tramite con la sas,,si,los propios vecinos,más de 100.000Gs,para uso particular del vendedor,,inodoro conectado a fosa septica,,conexión regular,essap,,98,ANDE,99,si,mas de un año,,si,mas de un año,,servicio de recolección pagado,,"gas, leña y carbón",,asfalto,,ripio,,regular,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,"sembrando oportunidades, secretaria de la niñez, senavitat,techo",si,no,no,no,no,,no,41,,por votacion,no,si,no,no,no,si,no,no,no,no,no,avendas,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),"solo cuenta con un colecta, y cuando llega al asentamiento se llena y no alza mas pasajeros",,3,2,,,1,,,,,,son muy unidos amabilidad y orgnizacion.,,,no
399,81,42,villa Resurreccion,lambare,migracion por factores economicos,,ocupacion ilegal,,1991,mas de 10 años,,,,60,10,,si,fiscal,fiscal,no,en proceso,ns/nr,ns/nr,un miembro del asentamiento,cada uno elige,mas de 2 años,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,,no existe proceso,si,los propios vecinos,más de 500.000Gs,para uso particular del vendedor,,inodoro conectado a alcantarillado,"inodoro conectado a alcantarillado, letrina sanitaria conectado a pozo negro o pozo ciego",conexión regular,conexion regular,"assap, solo 10 flia tiene el resto no tiene nada",100,ANDE,70,si,mas de un año,,si,4,,tira y quema,,leña y carbón,,tierra,,tierra,,bueno,en algunas de las calles del barrio,,provistos por el estado,,en algunas de las calles del asentamiento,,no,,,,no,,,si,no,no,no,no,,no,,,cntro de salud,no,si,no,no,no,si,si,si,no,no,si,,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),dentro del asentamiento,dentro del asentamiento,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),,,2,,,,1,,3,,,no hay aspectos positivos todos nos tratamos mal,no estan interesados en progresar. no quieren la ayuda de nadie,,,no
398,92,7,villa marina,lambare,f,invasion,ocupacion ilegal,,1992,mas de 10 años,50000,120,680,120,0,,si,sas,,si,no,no,si,propietario o particular,,no hubo abandono,si,si,,,en proceso,no,sin apoyo,,en tramite con la sas,,no,,,,,,,conexión regular,aguateria privada,,100,irregular,,no,,,no,,,servicio de recolección pagado,,leña y carbón,,tierra,,tierra,,regular,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,,si,no,no,no,no,,no,100,,se realiza cada dos años,si,si,no,no,no,no,no,no,no,no,no,,entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),,,,1,,,,,,,,la unidad se mantiene desde siempre,,,,no
397,91,7,villa la maravilla,lambare,f,municipalidad,e,la municipalidad arreglo el terreno,1975,entre 5 y 10 años,20000,25,49,25,5,,si,municipal,,si,en proceso,no,no,municipalidad,,no hubo abandono,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,,no se puede legalizar,no,,,,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,aguateria privada,,100,ANDE,90,si,5,,si,4,,tira y quema,,gas,,,,,,bueno,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,"desague pluvial, recoleccion de basuras",si,no,no,no,no,,no,10,,por voto,no,no,no,si,no,no,no,no,si,si,si,,entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a unas cuadras hacia arriba y al llevar todo viene hacia el asentamiento,,4,,3,,2,,1,,,,son solidarios entre los vecinos,,,no
396,406,,villa covin,lambare,migracion por factores economicos,,ocupacion ilegal,,1999,menos de 1 año,10000,105,90,105,15,,si,sas,fiscal,si,no,no,si,propietario o particular,,no hubo abandono,si,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,,discordia entre la SAS y la municipalidad,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,inodoro conectado a fosa septica,,conexión regular,conexion regular,,100,ANDE,100,si,mas de un año,,si,mas de un año,,servicio de recolección gratuito,,electricidad,,tierra,,tierra,,regular,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,techo,si,no,no,no,no,,no,100,,votacion,si,no,no,no,no,no,no,no,si,no,no,,a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),dentro del asentamiento,a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),,,,,,,,,,,,,union entre vecinos,,,no
